Date,Crimes,Location
2020-10-07,3.75,
2020-10-08,3.166666666666666,
2020-10-09,2.583333333333333,
2020-10-10,2.0,Location1
2020-10-11,4.5,
2020-10-12,7.0,Location1
2020-10-13,5.0,Location1
2020-10-14,4.5,
2020-10-15,4.0,Location1
2020-10-16,3.0,Location1
2020-10-17,8.0,Location1
2020-10-18,7.333333333333333,
2020-10-19,6.666666666666667,
2020-10-20,6.0,
2020-10-21,5.333333333333334,
2020-10-22,4.666666666666667,
2020-10-23,4.0,Location1
2020-10-24,4.428571428571429,
2020-10-25,4.857142857142857,
2020-10-26,5.285714285714286,
2020-10-27,5.714285714285714,
2020-10-28,6.142857142857142,
2020-10-29,6.571428571428571,
2020-10-30,7.0,Location1
2020-10-31,4.0,
2020-11-01,1.0,Location1
2020-11-02,3.0,
2020-11-03,5.0,Location1
2020-11-04,5.0,
2020-11-05,5.0,Location1
2020-11-06,7.5,
2020-11-07,10.0,Location1
2020-11-08,7.0,
2020-11-09,4.0,Location1
2020-11-10,4.625,
2020-11-11,5.25,
2020-11-12,5.875,
2020-11-13,6.5,
2020-11-14,7.125,
2020-11-15,7.75,
2020-11-16,8.375,
2020-11-17,9.0,Location1
2020-11-18,0.0,Location1
2020-11-19,0.5454545454545454,
2020-11-20,1.0909090909090908,
2020-11-21,1.6363636363636362,
2020-11-22,2.1818181818181817,
2020-11-23,2.727272727272727,
2020-11-24,3.2727272727272725,
2020-11-25,3.818181818181818,
2020-11-26,4.363636363636363,
2020-11-27,4.909090909090908,
2020-11-28,5.454545454545454,
2020-11-29,6.0,Location1
2020-11-30,5.0,Location1
2020-12-01,2.0,Location1
2020-12-02,5.0,Location1
2020-12-03,3.0,Location1
2020-12-04,3.0,
2020-12-05,3.0,Location1
2020-12-06,3.3333333333333335,
2020-12-07,3.6666666666666665,
2020-12-08,4.0,Location1
2020-12-09,5.0,Location1
2020-12-10,5.0,Location1
2020-12-11,4.333333333333333,
2020-12-12,3.666666666666667,
2020-12-13,3.0,Location1
2020-12-14,4.0,
2020-12-15,5.0,
2020-12-16,6.0,
2020-12-17,7.0,
2020-12-18,8.0,Location1
2020-12-19,7.0,
2020-12-20,6.0,
2020-12-21,5.0,
2020-12-22,4.0,Location1
2020-12-23,3.75,
2020-12-24,3.5,
2020-12-25,3.25,
2020-12-26,3.0,
2020-12-27,2.75,
2020-12-28,2.5,
2020-12-29,2.25,
2020-12-30,2.0,Location1
2020-12-31,10.0,Location1
2021-01-01,8.333333333333334,
2021-01-02,6.666666666666666,
2021-01-03,5.0,Location1
2021-01-04,4.6,
2021-01-05,4.2,
2021-01-06,3.8,
2021-01-07,3.4,
2021-01-08,3.0,Location1
2021-01-09,3.25,
2021-01-10,3.5,
2021-01-11,3.75,
2021-01-12,4.0,Location1
2021-01-13,3.5,
2021-01-14,3.0,Location1
2021-01-15,3.5,
2021-01-16,4.0,Location1
2021-01-17,2.5,
2021-01-18,1.0,Location1
2021-01-19,2.4,
2021-01-20,3.8,
2021-01-21,5.199999999999999,
2021-01-22,6.6,
2021-01-23,8.0,Location1
2021-01-24,3.0,Location1
2021-01-25,2.5,
2021-01-26,2.0,
2021-01-27,1.5,
2021-01-28,1.0,Location1
2021-01-29,1.0,
2021-01-30,1.0,
2021-01-31,1.0,
2021-02-01,1.0,
2021-02-02,1.0,
2021-02-03,1.0,
2021-02-04,1.0,
2021-02-05,1.0,Location1
2021-02-06,1.6666666666666665,
2021-02-07,2.333333333333333,
2021-02-08,3.0,Location1
2021-02-09,4.0,Location1
2021-02-10,2.0,Location1
2021-02-11,6.0,Location1
2021-02-12,8.0,Location1
2021-02-13,7.0,Location1
2021-02-14,2.0,Location1
2021-02-15,2.6666666666666665,
2021-02-16,3.333333333333333,
2021-02-17,4.0,
2021-02-18,4.666666666666666,
2021-02-19,5.333333333333333,
2021-02-20,6.0,Location1
2021-02-21,10.0,Location1
2021-02-22,7.5,
2021-02-23,5.0,Location1
2021-02-24,4.666666666666667,
2021-02-25,4.333333333333333,
2021-02-26,4.0,Location1
2021-02-27,10.0,Location1
2021-02-28,3.0,Location1
2021-03-01,4.5,
2021-03-02,6.0,Location1
2021-03-03,5.0,
2021-03-04,4.0,Location1
2021-03-05,4.5,
2021-03-06,5.0,Location1
2021-03-07,4.0,Location1
2021-03-08,4.25,
2021-03-09,4.5,
2021-03-10,4.75,
2021-03-11,5.0,
2021-03-12,5.25,
2021-03-13,5.5,
2021-03-14,5.75,
2021-03-15,6.0,Location1
2021-03-16,0.0,Location1
2021-03-17,2.5,
2021-03-18,5.0,Location1
2021-03-19,4.0,Location1
2021-03-20,5.5,
2021-03-21,7.0,Location1
2021-03-22,6.0,
2021-03-23,5.0,
2021-03-24,4.0,Location1
2021-03-25,2.0,Location1
2021-03-26,4.0,Location1
2021-03-27,1.0,Location1
2021-03-28,9.0,Location1
2021-03-29,5.0,
2021-03-30,1.0,Location1
2021-03-31,2.666666666666667,
2021-04-01,4.333333333333334,
2021-04-02,6.0,Location1
2021-04-03,5.0,Location1
2021-04-04,8.0,Location1
2021-04-05,6.25,
2021-04-06,4.5,
2021-04-07,2.75,
2021-04-08,1.0,Location1
2021-04-09,5.0,Location1
2021-04-10,4.0,Location1
2021-04-11,3.0,Location1
2021-04-12,7.5,
2021-04-13,12.0,Location1
2021-04-14,11.0,
2021-04-15,10.0,Location1
2021-04-16,8.666666666666666,
2021-04-17,7.333333333333334,
2021-04-18,6.0,Location1
2021-04-19,2.0,Location1
2021-04-20,3.5,
2021-04-21,5.0,Location1
2021-04-22,8.0,Location1
2021-04-23,4.0,Location1
2021-04-24,3.5,
2021-04-25,3.0,
2021-04-26,2.5,
2021-04-27,2.0,
2021-04-28,1.5,
2021-04-29,1.0,Location1
2021-04-30,1.3846153846153846,
2021-05-01,1.7692307692307692,
2021-05-02,2.153846153846154,
2021-05-03,2.5384615384615383,
2021-05-04,2.9230769230769234,
2021-05-05,3.307692307692308,
2021-05-06,3.6923076923076925,
2021-05-07,4.076923076923077,
2021-05-08,4.461538461538462,
2021-05-09,4.846153846153847,
2021-05-10,5.230769230769231,
2021-05-11,5.615384615384616,
2021-05-12,6.0,Location1
2021-05-13,5.8,
2021-05-14,5.6,
2021-05-15,5.4,
2021-05-16,5.2,
2021-05-17,5.0,Location1
2021-05-18,4.857142857142857,
2021-05-19,4.714285714285714,
2021-05-20,4.571428571428571,
2021-05-21,4.428571428571429,
2021-05-22,4.285714285714286,
2021-05-23,4.142857142857143,
2021-05-24,4.0,Location1
2021-05-25,6.0,Location1
2021-05-26,4.5,
2021-05-27,3.0,Location1
2021-05-28,4.0,
2021-05-29,5.0,
2021-05-30,6.0,Location1
2021-05-31,6.0,
2021-06-01,6.0,Location1
2021-06-02,5.5,
2021-06-03,5.0,Location1
2021-06-04,5.0,
2021-06-05,5.0,Location1
2021-06-06,6.5,
2021-06-07,8.0,
2021-06-08,9.5,
2021-06-09,11.0,Location1
2021-06-10,8.5,
2021-06-11,6.0,
2021-06-12,3.5,
2021-06-13,1.0,Location1
2021-06-14,1.0,
2021-06-15,1.0,
2021-06-16,1.0,
2021-06-17,1.0,
2021-06-18,1.0,
2021-06-19,1.0,
2021-06-20,1.0,
2021-06-21,1.0,
2021-06-22,1.0,
2021-06-23,1.0,
2021-06-24,1.0,
2021-06-25,1.0,Location1
2021-06-26,4.0,Location1
2021-06-27,4.3,
2021-06-28,4.6,
2021-06-29,4.9,
2021-06-30,5.2,
2021-07-01,5.5,
2021-07-02,5.8,
2021-07-03,6.1,
2021-07-04,6.4,
2021-07-05,6.699999999999999,
2021-07-06,7.0,Location1
2021-07-07,6.333333333333333,
2021-07-08,5.666666666666667,
2021-07-09,5.0,
2021-07-10,4.333333333333334,
2021-07-11,3.666666666666667,
2021-07-12,3.0,Location1
2021-07-13,5.333333333333334,
2021-07-14,7.666666666666667,
2021-07-15,10.0,Location1
2021-07-16,8.666666666666666,
2021-07-17,7.333333333333334,
2021-07-18,6.0,Location1
2021-07-19,7.0,
2021-07-20,8.0,Location1
2021-07-21,4.0,Location1
2021-07-22,4.555555555555555,
2021-07-23,5.111111111111111,
2021-07-24,5.666666666666667,
2021-07-25,6.222222222222222,
2021-07-26,6.777777777777778,
2021-07-27,7.333333333333334,
2021-07-28,7.888888888888889,
2021-07-29,8.444444444444445,
2021-07-30,9.0,Location1
2021-07-31,11.0,Location1
2021-08-01,4.0,Location1
2021-08-02,3.6666666666666665,
2021-08-03,3.3333333333333335,
2021-08-04,3.0,Location1
2021-08-05,2.6666666666666665,
2021-08-06,2.3333333333333335,
2021-08-07,2.0,Location1
2021-08-08,2.3333333333333335,
2021-08-09,2.6666666666666665,
2021-08-10,3.0,Location1
2021-08-11,6.0,Location1
2021-08-12,3.0,Location1
2021-08-13,2.0,Location1
2021-08-14,3.0,
2021-08-15,4.0,Location1
2021-08-16,4.0,
2021-08-17,4.0,Location1
2021-08-18,4.0,
2021-08-19,4.0,Location1
2021-08-20,4.25,
2021-08-21,4.5,
2021-08-22,4.75,
2021-08-23,5.0,Location1
2021-08-24,5.0,Location1
2021-08-25,5.0,Location1
2021-08-26,4.769230769230769,
2021-08-27,4.538461538461538,
2021-08-28,4.3076923076923075,
2021-08-29,4.076923076923077,
2021-08-30,3.846153846153846,
2021-08-31,3.6153846153846154,
2021-09-01,3.3846153846153846,
2021-09-02,3.1538461538461537,
2021-09-03,2.923076923076923,
2021-09-04,2.692307692307692,
2021-09-05,2.4615384615384612,
2021-09-06,2.230769230769231,
2021-09-07,2.0,Location1
2021-09-08,2.0,Location1
2021-09-09,5.0,Location1
2021-09-10,4.0,
2021-09-11,3.0,Location1
2021-09-12,5.0,Location1
2021-09-13,11.0,Location1
2021-09-14,9.0,
2021-09-15,7.0,
2021-09-16,5.0,Location1
2021-09-17,4.0,
2021-09-18,3.0,
2021-09-19,2.0,
2021-09-20,1.0,Location1
2021-09-21,1.25,
2021-09-22,1.5,
2021-09-23,1.75,
2021-09-24,2.0,
2021-09-25,2.25,
2021-09-26,2.5,
2021-09-27,2.75,
2021-09-28,3.0,Location1
2021-09-29,2.3333333333333335,
2021-09-30,1.6666666666666667,
2021-10-01,1.0,Location1
2021-10-02,4.0,
2021-10-03,7.0,Location1
2021-10-04,3.0,Location1
2021-10-05,4.0,
2021-10-06,5.0,Location1
2021-10-07,5.0,
2021-10-08,5.0,
2021-10-09,5.0,
2021-10-10,5.0,
2021-10-11,5.0,
2021-10-12,5.0,Location1
2021-10-13,11.0,Location1
2021-10-14,7.0,Location1
2021-10-15,6.6,
2021-10-16,6.2,
2021-10-17,5.8,
2021-10-18,5.4,
2021-10-19,5.0,Location1
2021-10-20,4.4,
2021-10-21,3.8,
2021-10-22,3.2,
2021-10-23,2.6,
2021-10-24,2.0,Location1
2021-10-25,2.5,
2021-10-26,3.0,
2021-10-27,3.5,
2021-10-28,4.0,
2021-10-29,4.5,
2021-10-30,5.0,Location1
2021-10-31,5.0,
2021-11-01,5.0,
2021-11-02,5.0,Location1
2021-11-03,5.2,
2021-11-04,5.4,
2021-11-05,5.6,
2021-11-06,5.8,
2021-11-07,6.0,Location1
2021-11-08,4.0,Location1
2021-11-09,9.0,Location1
2021-11-10,7.75,
2021-11-11,6.5,
2021-11-12,5.25,
2021-11-13,4.0,Location1
2021-11-14,4.0,
2021-11-15,4.0,
2021-11-16,4.0,
2021-11-17,4.0,Location1
2021-11-18,3.0,Location1
2021-11-19,4.0,
2021-11-20,5.0,Location1
2021-11-21,6.666666666666667,
2021-11-22,8.333333333333334,
2021-11-23,10.0,Location1
2021-11-24,5.0,Location1
2021-11-25,5.0,Location1
2021-11-26,4.0,Location1
2021-11-27,3.5,
2021-11-28,3.0,Location1
2021-11-29,4.0,
2021-11-30,5.0,
2021-12-01,6.0,
2021-12-02,7.0,
2021-12-03,8.0,
2021-12-04,9.0,Location1
2021-12-05,7.0,
2021-12-06,5.0,Location1
2021-12-07,5.0,
2021-12-08,5.0,Location1
2021-12-09,4.0,
2021-12-10,3.0,
2021-12-11,2.0,Location1
2021-12-12,5.0,Location1
2021-12-13,5.0,Location1
2021-12-14,5.0,
2021-12-15,5.0,
2021-12-16,5.0,Location1
2021-12-17,4.666666666666667,
2021-12-18,4.333333333333333,
2021-12-19,4.0,Location1
2021-12-20,7.0,Location1
2021-12-21,7.0,
2021-12-22,7.0,Location1
2021-12-23,6.25,
2021-12-24,5.5,
2021-12-25,4.75,
2021-12-26,4.0,Location1
2021-12-27,4.5,
2021-12-28,5.0,Location1
2021-12-29,10.0,Location1
2021-12-30,7.0,
2021-12-31,4.0,Location1
2022-01-01,4.333333333333333,
2022-01-02,4.666666666666667,
2022-01-03,5.0,Location1
2022-01-04,5.5,
2022-01-05,6.0,Location1
2022-01-06,4.666666666666667,
2022-01-07,3.3333333333333335,
2022-01-08,2.0,Location1
2022-01-09,6.0,Location1
2022-01-10,3.0,Location1
2022-01-11,5.0,Location1
2022-01-12,2.0,Location1
2022-01-13,6.0,Location1
2022-01-14,6.0,
2022-01-15,6.0,
2022-01-16,6.0,
2022-01-17,6.0,Location1
2022-01-18,5.714285714285714,
2022-01-19,5.428571428571429,
2022-01-20,5.142857142857143,
2022-01-21,4.857142857142858,
2022-01-22,4.571428571428571,
2022-01-23,4.285714285714286,
2022-01-24,4.0,Location1
2022-01-25,3.875,
2022-01-26,3.75,
2022-01-27,3.625,
2022-01-28,3.5,
2022-01-29,3.375,
2022-01-30,3.25,
2022-01-31,3.125,
2022-02-01,3.0,Location1
2022-02-02,2.0,Location1
2022-02-03,2.7777777777777777,
2022-02-04,3.5555555555555554,
2022-02-05,4.333333333333334,
2022-02-06,5.111111111111111,
2022-02-07,5.888888888888889,
2022-02-08,6.666666666666667,
2022-02-09,7.444444444444445,
2022-02-10,8.222222222222221,
2022-02-11,9.0,Location1
2022-02-12,8.5,
2022-02-13,8.0,Location1
2022-02-14,7.0,Location1
2022-02-15,6.0,Location1
2022-02-16,6.111111111111111,
2022-02-17,6.222222222222222,
2022-02-18,6.333333333333333,
2022-02-19,6.444444444444445,
2022-02-20,6.555555555555555,
2022-02-21,6.666666666666667,
2022-02-22,6.777777777777778,
2022-02-23,6.888888888888889,
2022-02-24,7.0,Location1
2022-02-25,6.5,
2022-02-26,6.0,
2022-02-27,5.5,
2022-02-28,5.0,Location1
2022-03-01,3.0,Location1
2022-03-02,2.875,
2022-03-03,2.75,
2022-03-04,2.625,
2022-03-05,2.5,
2022-03-06,2.375,
2022-03-07,2.25,
2022-03-08,2.125,
2022-03-09,2.0,Location1
2022-03-10,5.0,Location1
2022-03-11,4.818181818181818,
2022-03-12,4.636363636363637,
2022-03-13,4.454545454545455,
2022-03-14,4.2727272727272725,
2022-03-15,4.090909090909091,
2022-03-16,3.909090909090909,
2022-03-17,3.7272727272727275,
2022-03-18,3.5454545454545454,
2022-03-19,3.3636363636363633,
2022-03-20,3.1818181818181817,
2022-03-21,3.0,Location1
2022-03-22,4.0,
2022-03-23,5.0,Location1
2022-03-24,5.2,
2022-03-25,5.4,
2022-03-26,5.6,
2022-03-27,5.8,
2022-03-28,6.0,Location1
2022-03-29,5.0,
2022-03-30,4.0,
2022-03-31,3.0,
2022-04-01,2.0,Location1
2022-04-02,3.0,
2022-04-03,4.0,Location1
2022-04-04,7.0,Location1
2022-04-05,6.0,
2022-04-06,5.0,Location1
2022-04-07,5.2,
2022-04-08,5.4,
2022-04-09,5.6,
2022-04-10,5.8,
2022-04-11,6.0,Location1
2022-04-12,5.75,
2022-04-13,5.5,
2022-04-14,5.25,
2022-04-15,5.0,
2022-04-16,4.75,
2022-04-17,4.5,
2022-04-18,4.25,
2022-04-19,4.0,Location1
2022-04-20,4.333333333333333,
2022-04-21,4.666666666666667,
2022-04-22,5.0,Location1
2022-04-23,5.166666666666667,
2022-04-24,5.333333333333333,
2022-04-25,5.5,
2022-04-26,5.666666666666667,
2022-04-27,5.833333333333333,
2022-04-28,6.0,Location1
2022-04-29,5.333333333333333,
2022-04-30,4.666666666666667,
2022-05-01,4.0,Location1
2022-05-02,1.0,Location1
2022-05-03,2.2,
2022-05-04,3.4,
2022-05-05,4.6,
2022-05-06,5.8,
2022-05-07,7.0,Location1
2022-05-08,6.8,
2022-05-09,6.6,
2022-05-10,6.4,
2022-05-11,6.2,
2022-05-12,6.0,Location1
2022-05-13,4.0,Location1
2022-05-14,4.0,Location1
2022-05-15,4.666666666666667,
2022-05-16,5.333333333333333,
2022-05-17,6.0,Location1
2022-05-18,6.5,
2022-05-19,7.0,Location1
2022-05-20,6.5,
2022-05-21,6.0,Location1
2022-05-22,5.0,
2022-05-23,4.0,Location1
2022-05-24,3.0,Location1
2022-05-25,3.6,
2022-05-26,4.2,
2022-05-27,4.8,
2022-05-28,5.4,
2022-05-29,6.0,Location1
2022-05-30,6.0,Location1
2022-05-31,5.25,
2022-06-01,4.5,
2022-06-02,3.75,
2022-06-03,3.0,Location1
2022-06-04,2.0,Location1
2022-06-05,4.0,
2022-06-06,6.0,
2022-06-07,8.0,Location1
2022-06-08,7.0,Location1
2022-06-09,4.0,Location1
2022-06-10,4.25,
2022-06-11,4.5,
2022-06-12,4.75,
2022-06-13,5.0,Location1
2022-06-14,1.0,Location1
2022-06-15,5.0,
2022-06-16,9.0,Location1
2022-06-17,7.0,
2022-06-18,5.0,
2022-06-19,3.0,Location1
2022-06-20,2.8,
2022-06-21,2.6,
2022-06-22,2.4,
2022-06-23,2.2,
2022-06-24,2.0,Location1
2022-06-25,2.6666666666666665,
2022-06-26,3.333333333333333,
2022-06-27,4.0,Location1
2022-06-28,4.0,
2022-06-29,4.0,
2022-06-30,4.0,Location1
2022-07-01,4.0,Location1
2022-07-02,5.5,
2022-07-03,7.0,Location1
2022-07-04,7.333333333333333,
2022-07-05,7.666666666666667,
2022-07-06,8.0,Location1
2022-07-07,5.5,
2022-07-08,3.0,Location1
2022-07-09,3.0,
2022-07-10,3.0,
2022-07-11,3.0,
2022-07-12,3.0,
2022-07-13,3.0,
2022-07-14,3.0,Location1
2022-07-15,3.4,
2022-07-16,3.8,
2022-07-17,4.2,
2022-07-18,4.6,
2022-07-19,5.0,Location1
2022-07-20,4.9,
2022-07-21,4.8,
2022-07-22,4.7,
2022-07-23,4.6,
2022-07-24,4.5,
2022-07-25,4.4,
2022-07-26,4.3,
2022-07-27,4.2,
2022-07-28,4.1,
2022-07-29,4.0,Location1
2022-07-30,4.0,
2022-07-31,4.0,
2022-08-01,4.0,Location1
2022-08-02,2.0,Location1
2022-08-03,7.0,Location1
2022-08-04,6.0,Location1
2022-08-05,7.0,Location1
2022-08-06,5.0,Location1
2022-08-07,5.166666666666667,
2022-08-08,5.333333333333333,
2022-08-09,5.5,
2022-08-10,5.666666666666667,
2022-08-11,5.833333333333333,
2022-08-12,6.0,Location1
2022-08-13,4.0,
2022-08-14,2.0,Location1
2022-08-15,4.0,Location1
2022-08-16,4.8,
2022-08-17,5.6,
2022-08-18,6.4,
2022-08-19,7.2,
2022-08-20,8.0,Location1
2022-08-21,5.0,Location1
2022-08-22,3.0,Location1
2022-08-23,2.7142857142857144,
2022-08-24,2.428571428571429,
2022-08-25,2.142857142857143,
2022-08-26,1.8571428571428572,
2022-08-27,1.5714285714285716,
2022-08-28,1.2857142857142858,
2022-08-29,1.0,Location1
2022-08-30,2.0,
2022-08-31,3.0,Location1
2022-09-01,3.5,
2022-09-02,4.0,Location1
2022-09-03,3.5,
2022-09-04,3.0,
2022-09-05,2.5,
2022-09-06,2.0,Location1
2022-09-07,3.2,
2022-09-08,4.4,
2022-09-09,5.6,
2022-09-10,6.8,
2022-09-11,8.0,Location1
2022-09-12,6.5,
2022-09-13,5.0,Location1
2022-09-14,4.666666666666667,
2022-09-15,4.333333333333333,
2022-09-16,4.0,
2022-09-17,3.666666666666667,
2022-09-18,3.3333333333333335,
2022-09-19,3.0,Location1
2022-09-20,4.0,
2022-09-21,5.0,
2022-09-22,6.0,
2022-09-23,7.0,
2022-09-24,8.0,Location1
2022-09-25,8.0,
2022-09-26,8.0,
2022-09-27,8.0,
2022-09-28,8.0,
2022-09-29,8.0,
2022-09-30,8.0,
